Word 1	Word 2	Human (mean)
tiger	tiger	10.00
smart	stupid	5.81
bishop	rabbi	6.69
gem	jewel	8.96
journey	voyage	9.29
magician	wizard	9.02
furnace	stove	8.79
tool	implement	6.46
crane	implement	2.69
monk	oracle	5.00
cemetery	woodland	2.08
monk	slave	0.92
lad	wizard	0.92
noon	string	0.54
rooster	voyage	0.62
tiger	jaguar	8.00
tiger	feline	8.00
tiger	carnivore	7.08
tiger	mammal	6.85
tiger	organism	4.77
tiger	fauna	5.62
tiger	zoo	5.87
psychology	psychiatry	8.08
psychology	anxiety	7.00
psychology	fear	6.85
psychology	discipline	5.58
psychology	cognition	7.48
planet	constellation	8.06
planet	galaxy	8.11
planet	astronomer	7.94
precedent	cognition	2.81
volunteer	motto	2.56
prejudice	recognition	3.00
decoration	valor	5.63
delay	racism	1.19
deployment	departure	4.25
deployment	withdrawal	5.88
announcement	effort	2.75
arrangement	accommodation	5.41
situation	isolation	3.88
listing	category	6.38
dividend	payment	7.63
dividend	calculation	6.48
investor	earning	7.13
marathon	sprint	7.47
seafood	lobster	8.70
fighting	defeating	7.41
lover	quarrel	6.19
gender	equality	6.41
size	prominence	5.31
chance	credibility	3.88
exhibit	memorabilia	5.31
