Word 1	Word 2	Human (mean)
computer	keyboard	7.62
computer	internet	7.58
telephone	communication	7.50
cucumber	potato	5.92
stock	jaguar	0.92
fertility	egg	6.69
book	library	7.46
professor	cucumber	0.31
king	cabbage	0.23
king	rook	5.92
fuck	sex	9.44
football	soccer	9.03
tennis	racket	7.56
movie	popcorn	6.19
movie	critic	6.73
physics	proton	8.12
physics	chemistry	7.35
space	chemistry	4.88
car	automobile	8.94
journey	voyage	9.29
boy	lad	8.83
coast	shore	9.10
midday	noon	9.29
brother	monk	6.27
lad	brother	4.46
food	rooster	4.42
forest	graveyard	1.85
chord	smile	0.54
glass	magician	2.08
noon	string	0.54
money	currency	9.04
money	wealth	8.27
money	possession	7.29
money	deposit	7.73
money	withdrawal	6.88
money	operation	3.31
tiger	animal	7.00
psychology	fear	6.85
psychology	depression	7.42
psychology	clinic	6.58
psychology	doctor	6.42
psychology	mind	7.69
psychology	health	7.23
psychology	science	6.71
planet	star	8.45
planet	moon	8.08
planet	sun	8.02
planet	galaxy	8.11
planet	space	7.92
precedent	example	5.85
precedent	information	3.85
precedent	law	6.65
precedent	collection	2.50
precedent	group	1.77
cup	tableware	6.85
cup	artifact	2.92
cup	object	3.69
cup	entity	2.15
cup	liquid	5.90
jaguar	car	7.27
discovery	space	6.34
water	seepage	6.56
sign	recess	2.38
mile	kilometer	8.66
territory	surface	5.34
delay	news	3.31
announcement	news	7.56
announcement	effort	2.75
stroke	hospital	7.03
disability	death	5.47
victim	emergency	6.47
treatment	recovery	7.91
doctor	personnel	5.00
doctor	liability	5.19
liability	insurance	7.03
reason	hypertension	2.31
reason	criterion	5.91
hospital	infrastructure	4.63
death	inmate	5.03
word	similarity	4.75
board	recommendation	4.47
consumer	confidence	4.13
hotel	reservation	8.03
arrival	hotel	6.00
situation	isolation	3.88
direction	combination	2.25
listing	proximity	2.56
production	hike	1.75
benchmark	index	4.25
media	trading	3.88
currency	market	7.50
announcement	production	3.38
announcement	warning	6.00
dollar	yen	7.78
dollar	buck	9.22
computer	software	8.50
network	hardware	8.31
equipment	maker	5.91
luxury	car	6.47
liquid	water	7.89
game	victory	7.03
game	defeat	6.97
seafood	sea	7.47
seafood	food	8.34
lobster	food	7.81
lobster	wine	5.70
food	preparation	6.22
video	archive	6.34
start	match	4.47
championship	tournament	8.36
fighting	defeating	7.41
summer	drought	7.16
day	dawn	7.53
environment	ecology	8.81
murder	manslaughter	8.53
soap	opera	7.94
opera	performance	6.88
life	lesson	5.94
television	film	7.72
morality	importance	3.31
morality	marriage	3.69
sugar	approach	0.88
size	prominence	5.31
country	citizen	7.31
planet	people	5.75
chance	credibility	3.88
rock	jazz	7.59
preservation	world	6.19
weather	forecast	8.34
disaster	area	6.25
architecture	century	3.78
