Word 1	Word 2	Human (mean)
tiger	cat	7.35
computer	keyboard	7.62
computer	internet	7.58
telephone	communication	7.50
cucumber	potato	5.92
smart	student	4.62
smart	stupid	5.81
stock	jaguar	0.92
fertility	egg	6.69
book	library	7.46
professor	cucumber	0.31
king	cabbage	0.23
king	rook	5.92
fuck	sex	9.44
football	soccer	9.03
tennis	racket	7.56
movie	popcorn	6.19
movie	critic	6.73
physics	proton	8.12
physics	chemistry	7.35
space	chemistry	4.88
drink	car	3.04
drink	ear	1.31
drink	mouth	5.96
drink	mother	2.65
journey	voyage	9.29
boy	lad	8.83
coast	shore	9.10
asylum	madhouse	8.87
midday	noon	9.29
food	fruit	7.52
lad	brother	4.46
monk	oracle	5.00
food	rooster	4.42
forest	graveyard	1.85
monk	slave	0.92
chord	smile	0.54
glass	magician	2.08
noon	string	0.54
money	currency	9.04
money	wealth	8.27
money	possession	7.29
money	deposit	7.73
money	withdrawal	6.88
tiger	animal	7.00
psychology	fear	6.85
psychology	depression	7.42
psychology	clinic	6.58
psychology	doctor	6.42
psychology	mind	7.69
psychology	health	7.23
psychology	science	6.71
planet	constellation	8.06
planet	astronomer	7.94
precedent	example	5.85
precedent	information	3.85
precedent	law	6.65
precedent	collection	2.50
precedent	group	1.77
cup	tableware	6.85
cup	artifact	2.92
cup	object	3.69
cup	entity	2.15
cup	drink	7.25
cup	liquid	5.90
jaguar	cat	7.42
jaguar	car	7.27
discovery	space	6.34
water	seepage	6.56
sign	recess	2.38
mile	kilometer	8.66
territory	surface	5.34
delay	news	3.31
announcement	news	7.56
announcement	effort	2.75
stroke	hospital	7.03
disability	death	5.47
victim	emergency	6.47
doctor	liability	5.19
liability	insurance	7.03
reason	hypertension	2.31
reason	criterion	5.91
hundred	percent	7.38
hospital	infrastructure	4.63
death	inmate	5.03
word	similarity	4.75
board	recommendation	4.47
consumer	confidence	4.13
problem	airport	2.38
hotel	reservation	8.03
arrival	hotel	6.00
situation	isolation	3.88
direction	combination	2.25
listing	proximity	2.56
production	hike	1.75
benchmark	index	4.25
media	gain	2.88
currency	market	7.50
announcement	production	3.38
profit	warning	3.88
dollar	yen	7.78
dollar	buck	9.22
computer	software	8.50
network	hardware	8.31
equipment	maker	5.91
luxury	car	6.47
five	month	3.38
report	gain	3.63
liquid	water	7.89
game	victory	7.03
game	defeat	6.97
seafood	sea	7.47
seafood	food	8.34
lobster	food	7.81
lobster	wine	5.70
food	preparation	6.22
video	archive	6.34
start	match	4.47
championship	tournament	8.36
summer	drought	7.16
day	dawn	7.53
environment	ecology	8.81
murder	manslaughter	8.53
opera	performance	6.88
life	lesson	5.94
morality	importance	3.31
morality	marriage	3.69
change	attitude	5.44
size	prominence	5.31
country	citizen	7.31
chance	credibility	3.88
rock	jazz	7.59
observation	architecture	4.38
preservation	world	6.19
admission	ticket	7.69
weather	forecast	8.34
disaster	area	6.25
architecture	century	3.78
