Word 1	Word 2	Human (mean)
tiger	cat	7.35
tiger	tiger	10.00
bishop	rabbi	6.69
alcohol	chemistry	5.54
vodka	gin	8.46
vodka	brandy	8.13
gem	jewel	8.96
asylum	madhouse	8.87
magician	wizard	9.02
furnace	stove	8.79
bird	cock	7.10
bird	crane	7.38
tool	implement	6.46
crane	implement	2.69
monk	oracle	5.00
cemetery	woodland	2.08
shore	woodland	3.08
monk	slave	0.92
lad	wizard	0.92
rooster	voyage	0.62
tiger	jaguar	8.00
tiger	feline	8.00
tiger	carnivore	7.08
tiger	mammal	6.85
tiger	organism	4.77
tiger	fauna	5.62
tiger	zoo	5.87
psychology	psychiatry	8.08
psychology	anxiety	7.00
psychology	discipline	5.58
psychology	cognition	7.48
planet	constellation	8.06
planet	astronomer	7.94
precedent	cognition	2.81
jaguar	cat	7.42
volunteer	motto	2.56
prejudice	recognition	3.00
decoration	valor	5.63
delay	racism	1.19
deployment	departure	4.25
deployment	withdrawal	5.88
territory	kilometer	5.28
registration	arrangement	6.00
arrangement	accommodation	5.41
listing	category	6.38
dividend	payment	7.63
dividend	calculation	6.48
investor	earning	7.13
marathon	sprint	7.47
seafood	lobster	8.70
lover	quarrel	6.19
viewer	serial	2.97
gender	equality	6.41
exhibit	memorabilia	5.31
concert	virtuoso	6.81
observation	architecture	4.38
admission	ticket	7.69
shower	thunderstorm	6.31
shower	flood	6.03
