Word 1	Word 2	Human (mean)
tiger	cat	7.35
computer	keyboard	7.62
computer	internet	7.58
telephone	communication	7.50
cucumber	potato	5.92
smart	student	4.62
smart	stupid	5.81
stock	jaguar	0.92
fertility	egg	6.69
professor	cucumber	0.31
king	cabbage	0.23
king	rook	5.92
fuck	sex	9.44
football	soccer	9.03
tennis	racket	7.56
movie	popcorn	6.19
physics	proton	8.12
physics	chemistry	7.35
space	chemistry	4.88
drink	car	3.04
drink	ear	1.31
drink	mouth	5.96
drink	mother	2.65
boy	lad	8.83
asylum	madhouse	8.87
magician	wizard	9.02
midday	noon	9.29
food	fruit	7.52
brother	monk	6.27
lad	brother	4.46
journey	car	5.85
food	rooster	4.42
forest	graveyard	1.85
shore	woodland	3.08
lad	wizard	0.92
chord	smile	0.54
glass	magician	2.08
noon	string	0.54
money	currency	9.04
money	wealth	8.27
money	possession	7.29
money	deposit	7.73
money	withdrawal	6.88
tiger	animal	7.00
psychology	fear	6.85
psychology	depression	7.42
psychology	clinic	6.58
psychology	doctor	6.42
psychology	mind	7.69
psychology	health	7.23
psychology	science	6.71
planet	constellation	8.06
planet	galaxy	8.11
planet	astronomer	7.94
precedent	example	5.85
precedent	information	3.85
precedent	law	6.65
precedent	group	1.77
cup	tableware	6.85
cup	artifact	2.92
cup	object	3.69
cup	entity	2.15
cup	drink	7.25
cup	liquid	5.90
jaguar	cat	7.42
jaguar	car	7.27
energy	laboratory	5.09
computer	laboratory	6.78
canyon	landscape	7.53
discovery	space	6.34
water	seepage	6.56
sign	recess	2.38
mile	kilometer	8.66
territory	surface	5.34
delay	racism	1.19
announcement	news	7.56
announcement	effort	2.75
stroke	hospital	7.03
disability	death	5.47
victim	emergency	6.47
treatment	recovery	7.91
doctor	liability	5.19
liability	insurance	7.03
hospital	infrastructure	4.63
death	inmate	5.03
word	similarity	4.75
board	recommendation	4.47
governor	interview	3.25
peace	atmosphere	3.69
competition	price	6.44
hotel	reservation	8.03
month	hotel	1.81
arrival	hotel	6.00
situation	isolation	3.88
direction	combination	2.25
production	hike	1.75
benchmark	index	4.25
media	trading	3.88
dividend	payment	7.63
currency	market	7.50
announcement	production	3.38
announcement	warning	6.00
dollar	yen	7.78
dollar	buck	9.22
computer	software	8.50
network	hardware	8.31
equipment	maker	5.91
luxury	car	6.47
liquid	water	7.89
game	defeat	6.97
seafood	sea	7.47
seafood	food	8.34
lobster	food	7.81
lobster	wine	5.70
food	preparation	6.22
video	archive	6.34
start	match	4.47
boxing	round	7.61
championship	tournament	8.36
summer	drought	7.16
environment	ecology	8.81
man	governor	5.25
murder	manslaughter	8.53
life	lesson	5.94
focus	life	4.06
viewer	serial	2.97
possibility	girl	1.94
change	attitude	5.44
family	planning	6.25
sugar	approach	0.88
problem	challenge	6.75
glass	metal	5.56
chance	credibility	3.88
concert	virtuoso	6.81
rock	jazz	7.59
observation	architecture	4.38
preservation	world	6.19
admission	ticket	7.69
weather	forecast	8.34
disaster	area	6.25
governor	office	6.34
