Word 1	Word 2	Human (mean)
tiger	tiger	10.00
bishop	rabbi	6.69
alcohol	chemistry	5.54
vodka	gin	8.46
vodka	brandy	8.13
drink	eat	6.87
gem	jewel	8.96
journey	voyage	9.29
furnace	stove	8.79
bird	cock	7.10
bird	crane	7.38
tool	implement	6.46
crane	implement	2.69
monk	oracle	5.00
cemetery	woodland	2.08
monk	slave	0.92
rooster	voyage	0.62
tiger	jaguar	8.00
tiger	feline	8.00
tiger	carnivore	7.08
tiger	mammal	6.85
tiger	organism	4.77
tiger	fauna	5.62
tiger	zoo	5.87
psychology	psychiatry	8.08
psychology	anxiety	7.00
psychology	discipline	5.58
psychology	cognition	7.48
precedent	cognition	2.81
precedent	collection	2.50
atmosphere	landscape	3.69
volunteer	motto	2.56
prejudice	recognition	3.00
decoration	valor	5.63
deployment	departure	4.25
deployment	withdrawal	5.88
reason	hypertension	2.31
reason	criterion	5.91
territory	kilometer	5.28
registration	arrangement	6.00
arrangement	accommodation	5.41
listing	proximity	2.56
listing	category	6.38
dividend	calculation	6.48
five	month	3.38
investor	earning	7.13
marathon	sprint	7.47
seafood	lobster	8.70
fighting	defeating	7.41
lover	quarrel	6.19
morality	importance	3.31
morality	marriage	3.69
gender	equality	6.41
size	prominence	5.31
aluminum	metal	7.83
exhibit	memorabilia	5.31
shower	thunderstorm	6.31
shower	flood	6.03
