Word 1	Word 2	Human (mean)
tiger	cat	7.35
computer	keyboard	7.62
telephone	communication	7.50
cucumber	potato	5.92
smart	student	4.62
stock	jaguar	0.92
fertility	egg	6.69
professor	cucumber	0.31
king	cabbage	0.23
king	rook	5.92
fuck	sex	9.44
tennis	racket	7.56
movie	popcorn	6.19
physics	proton	8.12
physics	chemistry	7.35
space	chemistry	4.88
alcohol	chemistry	5.54
vodka	gin	8.46
vodka	brandy	8.13
drink	ear	1.31
boy	lad	8.83
asylum	madhouse	8.87
midday	noon	9.29
bird	cock	7.10
bird	crane	7.38
brother	monk	6.27
lad	brother	4.46
journey	car	5.85
food	rooster	4.42
forest	graveyard	1.85
shore	woodland	3.08
chord	smile	0.54
glass	magician	2.08
money	currency	9.04
money	deposit	7.73
money	withdrawal	6.88
money	operation	3.31
tiger	animal	7.00
psychology	depression	7.42
psychology	clinic	6.58
psychology	doctor	6.42
psychology	mind	7.69
psychology	health	7.23
psychology	science	6.71
planet	star	8.45
planet	moon	8.08
planet	sun	8.02
planet	space	7.92
precedent	example	5.85
precedent	information	3.85
precedent	law	6.65
precedent	collection	2.50
precedent	group	1.77
cup	tableware	6.85
cup	artifact	2.92
cup	object	3.69
cup	entity	2.15
cup	liquid	5.90
jaguar	cat	7.42
jaguar	car	7.27
investigation	effort	4.59
canyon	landscape	7.53
discovery	space	6.34
water	seepage	6.56
sign	recess	2.38
mile	kilometer	8.66
atmosphere	landscape	3.69
theater	history	3.91
delay	news	3.31
announcement	news	7.56
stroke	hospital	7.03
disability	death	5.47
victim	emergency	6.47
doctor	liability	5.19
liability	insurance	7.03
reason	hypertension	2.31
reason	criterion	5.91
hospital	infrastructure	4.63
death	inmate	5.03
word	similarity	4.75
board	recommendation	4.47
territory	kilometer	5.28
consumer	confidence	4.13
hotel	reservation	8.03
registration	arrangement	6.00
type	kind	8.97
arrival	hotel	6.00
bed	closet	6.72
situation	conclusion	4.81
direction	combination	2.25
listing	proximity	2.56
benchmark	index	4.25
currency	market	7.50
announcement	production	3.38
announcement	warning	6.00
dollar	yen	7.78
dollar	buck	9.22
equipment	maker	5.91
liquid	water	7.89
game	victory	7.03
game	defeat	6.97
seafood	sea	7.47
seafood	food	8.34
lobster	food	7.81
lobster	wine	5.70
food	preparation	6.22
video	archive	6.34
game	round	5.97
boxing	round	7.61
summer	drought	7.16
environment	ecology	8.81
murder	manslaughter	8.53
viewer	serial	2.97
sugar	approach	0.88
planet	people	5.75
experience	music	3.47
concert	virtuoso	6.81
observation	architecture	4.38
preservation	world	6.19
admission	ticket	7.69
shower	thunderstorm	6.31
shower	flood	6.03
weather	forecast	8.34
disaster	area	6.25
